Year,Age,Birth,Rate,Lower,Upper
1975,25,1950,38.7873,31.9374,46.6713
1976,26,1950,49.2075,41.4471,57.999
1977,27,1950,51.6821,43.7676,60.6141
1978,28,1950,58.176,49.6379,67.7612
1979,29,1950,60.0421,51.6577,69.3996
1980,30,1950,62.9019,54.3615,72.4032
1981,31,1950,76.0535,66.5214,86.568
1982,32,1950,80.4224,70.6472,91.1721
1983,33,1950,80.3968,70.5857,91.1901
1984,34,1950,92.7022,82.3214,104.0298
1985,35,1950,106.8554,95.5863,119.0879
1986,36,1950,130.1059,117.5435,143.6452
1987,37,1950,140.9183,127.8825,154.9226
1988,38,1950,169.5572,154.8746,185.2565
1989,39,1950,138.7865,126.2308,152.253
1990,40,1950,170.6709,156.641,185.6203
1991,41,1950,194.0269,178.8598,210.1366
1992,42,1950,199.7128,184.3363,216.0296
1993,43,1950,206.1742,190.4842,222.812
1994,44,1950,230.2335,213.7885,247.6079
1995,45,1950,255.2375,237.8868,273.5191
1996,46,1950,276.562,258.1839,295.9028
1997,47,1950,317.4686,297.891,337.9948
1998,48,1950,345.3301,324.7074,366.9193
1999,49,1950,374.5198,353.3378,396.6399
2000,50,1950,408.0925,386.1659,430.9397
2001,51,1950,437.4004,414.6328,461.0931
2002,52,1950,504.0761,479.5091,529.5754
2003,53,1950,536.237,510.8164,562.5952
2004,54,1950,608.4683,581.3427,636.533
2005,55,1950,645.7986,617.6703,674.8775
2006,56,1950,702.5433,673.1982,732.8384
2007,57,1950,756.0793,725.5448,787.5685
2008,58,1950,823.6493,791.657,856.6028
2009,59,1950,863.411,830.4761,897.3173
2010,60,1950,938.5791,903.8115,974.3416
2011,61,1950,956.862,921.6073,993.12
2012,62,1950,987.7119,951.71,1024.7271
2013,63,1950,1040.031,1002.8606,1078.2268
2014,64,1950,1055.9319,1018.2122,1094.6916
2015,65,1950,1252.6957,1211.3112,1295.1335
2016,66,1950,1244.3568,1202.7685,1287.0162
2017,67,1950,1326.9148,1283.5722,1371.3479
2018,68,1950,1338.9096,1294.9903,1383.9386
2019,69,1950,1420.1984,1374.5194,1467.0086
2020,70,1950,1257.5443,1214.1107,1302.1348